"","gedlong","gedlat","ID","event_country","year","civdeath","region","gid","diamsec_y","diamprim_y","petroleum_y","row","col","xcoord","ycoord","diamsec_s","diamprim_s","petroleum_s","diamdummy","oildummy","GDP","Population","logGDP","uncivdeath"
"4538",82.75,28.41667,106326,"Nepal",1999,1.38629436111989,"Asia",170446,0,0,0,237,526,82.75,28.25,0,0,0,0,0,NA,NA,NA,4
"4539",-66.879193,10.488011,204110,"Venezuela",1999,0,"Americas",144227,0,0,1,201,227,-66.75,10.25,0,0,0,0,1,2.79e+11,23739841,26.3544776187678,1
"4540",45.7477,43.3058,191666,"Russia (Soviet Union)",1999,4.24849524204936,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,70
"4541",29.350833,-3.520833,9978,"Burundi",1999,0,"Africa",124259,0,0,0,173,419,29.25,-3.75,0,0,0,0,0,NA,NA,NA,0
"4542",-9.56278,8.20139,43592,"Liberia",2000,2.89037175789616,"Africa",141461,0,0,0,197,341,-9.75,8.25,0,0,0,0,0,NA,NA,NA,18
"4543",-10.874444,6.694167,44464,"Liberia",2000,3.25809653802148,"Africa",139299,1,0,0,194,339,-10.75,6.75,0,0,0,1,0,NA,NA,NA,26
"4544",103.434411,19.363349,60803,"Laos",2000,0.693147180559945,"Asia",157527,0,0,0,219,567,103.25,19.25,0,0,0,0,0,NA,NA,NA,2
"4545",98.111969,21.102417,78145,"Myanmar (Burma)",2000,1.09861228866811,"Asia",160397,0,0,0,223,557,98.25,21.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,3
"4546",98.429888,21.304659,48994,"Myanmar (Burma)",2000,1.6094379124341,"Asia",160397,0,0,0,223,557,98.25,21.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,5
"4547",81.83333,29.25,102669,"Nepal",2000,0,"Asia",171884,0,0,0,239,524,81.75,29.25,0,0,0,0,0,NA,NA,NA,1
"4548",97.82099,21.929133,49054,"Myanmar (Burma)",2000,0,"Asia",161116,0,0,0,224,556,97.75,21.75,0,0,0,0,0,15984737490,46719701,23.4949001970525,1
"4549",-66.879193,10.488011,204111,"Venezuela",2000,0,"Americas",144227,0,0,1,201,227,-66.75,10.25,0,0,0,0,1,2.89e+11,24192446,26.3896925250588,1
"4550",98.427942,21.301664,48946,"Myanmar (Burma)",2000,1.38629436111989,"Asia",160397,0,0,0,223,557,98.25,21.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,4
"4551",84.91667,28,103802,"Nepal",2000,0,"Asia",170450,0,0,0,237,530,84.75,28.25,0,0,0,0,0,NA,NA,NA,1
"4552",45.6982,43.318,191556,"Russia (Soviet Union)",2000,0,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,1
"4553",16.42,8.25,20302,"Chad",2001,1.38629436111989,"Africa",141513,0,0,1,197,393,16.25,8.25,0,0,0,0,1,4308521326,8678051,22.1838606023823,4
"4554",-16.382778,12.470556,39110,"Senegal",2000,0,"Africa",147208,0,0,0,205,328,-16.25,12.25,0,0,0,0,0,10915427397,9797734,23.1134429830301,1
"4555",45.6982,43.318,192339,"Russia (Soviet Union)",2000,2.07944154167984,"Europe",191972,0,0,1,267,452,45.75,43.25,0,0,0,0,1,NA,NA,NA,8
