"","gedlong","gedlat","ID","event_country","year","civdeath","region"
"1411",15.5,45.166667,201023,"Croatia",1995,2,"Europe"
"1412",15.5,45.166667,201024,"Croatia",1995,50,"Europe"
"1413",87.33333,27,100930,"Nepal",2002,1,"Asia"
"1414",18.388889,43.838333,199570,"Bosnia-Herzegovina",1995,0,"Europe"
"1415",97.7,17.7,78148,"Myanmar (Burma)",1995,1,"Asia"
"1416",41.75,33,144728,"Iraq",1995,0,"Middle East"
"1417",-66.416667,10.25,203800,"Venezuela",1995,1,"Americas"
"1418",-89.35,15.53333,195863,"Guatemala",1995,1,"Americas"
"1419",-90.535278,14.613333,195867,"Guatemala",1995,1,"Americas"
"1420",18.383333,43.85,199555,"Bosnia-Herzegovina",1995,2,"Europe"
"1421",35.227656,32.508125,177766,"Israel",1989,2,"Middle East"
"1422",25.25,13.183333,212047,"Sudan",2015,2,"Africa"
"1423",18.383333,43.85,199558,"Bosnia-Herzegovina",1995,0,"Europe"
"1424",98,22,49663,"Myanmar (Burma)",1995,3,"Asia"
"1425",86,27.25,103850,"Nepal",2002,5,"Asia"
"1426",97.252818,20.160643,51119,"Myanmar (Burma)",1995,1,"Asia"
"1427",-66.879193,10.488011,203803,"Venezuela",1995,1,"Americas"
"1428",15.783333,8.716667,11977,"Chad",1995,1,"Africa"
"1429",16.24642,9.123372,12023,"Chad",1995,1,"Africa"
"1430",19,15,12241,"Chad",1995,2,"Africa"
"1431",15.6413,8.7842,12316,"Chad",1995,1,"Africa"
"1432",15.698611,45.323611,200925,"Croatia",1995,1,"Europe"
"1433",18.175556,44.695833,199551,"Bosnia-Herzegovina",1995,1,"Europe"
"1434",-66.879193,10.488011,203807,"Venezuela",1995,1,"Americas"
"1435",97.75,16.25,49371,"Myanmar (Burma)",1995,3,"Asia"
"1436",98,22,49670,"Myanmar (Burma)",1995,1,"Asia"
"1437",97.7,17.7,51063,"Myanmar (Burma)",1995,1,"Asia"
"1438",97.7,17.7,50979,"Myanmar (Burma)",1995,1,"Asia"
"1439",30.9,-29.783333,14088,"South Africa",1990,1,"Africa"
"1440",96.25,18.25,50890,"Myanmar (Burma)",1995,0,"Asia"
"1441",18.520278,43.975,199094,"Bosnia-Herzegovina",1995,0,"Europe"
"1442",-63.18323,9.74569,203840,"Venezuela",1995,0,"Americas"
"1443",-71.6526,8.89537,203841,"Venezuela",1995,1,"Americas"
"1444",96.805081,18.954692,50129,"Myanmar (Burma)",1995,2,"Asia"
"1445",-66.879193,10.488011,203843,"Venezuela",1995,0,"Americas"
"1446",29.973611,-2.922222,9795,"Burundi",1995,252,"Africa"
"1447",29.692474,-16.809931,21100,"Zimbabwe (Rhodesia)",1995,1,"Africa"
"1448",96.807614,19.216667,49116,"Myanmar (Burma)",1995,1,"Asia"
"1449",-66.879193,10.488011,203844,"Venezuela",1995,1,"Americas"
