"","oilLONG","oilLAT","oilnear","oil_country","oilyeardisc","diaLONG","diaLAT","dianear","dia_country","diayeardisc","DIAINFO","RESINFO","gedlong","gedlat","ID","event_country","year","civdeath","region","oilLATsq","oilLONGsq","oilLATcu","oilLONGcu","diaLATsq","diaLONGsq","diaLATcu","diaLONGcu","GDP","Population","logGDP","gedLATsq","gedLONGsq","gedLATcu","gedLONGcu","uncivdeath"
"73",95.74,17.31,610,"Myanmar (Burma)",1991,-49.37,-4.62,324,"Brazil",NA,"S","secondary",97.7,17.7,48664,"Myanmar (Burma)",2009,0.693147180559945,"Asia",299.6361,9166.1476,5186.700891,877566.971224,21.3444,2437.3969,-98.611128,-120334.284953,45187272895,50250367,24.534081311016,313.29,9545.29,5545.233,932574.833,2
"74",30.32,8.47,890,"Sudan",1998,-10.5,7.32,733,"Liberia",NA,"S","alluvial gravels",29.533333,-2.333333,33614,"Rwanda",1994,9.39266192877014,"Africa",71.7409,919.3024,607.645423,27873.248768,53.5824,110.25,392.223168,-1157.625,NA,NA,NA,5.444442888889,872.217758088889,-12.70369825926,25759.4974981526,12000
"75",29.41,9.68,805,"Sudan",1980,-44.07,-8.67,335,"Brazil",NA,"S","secondary",30.75,12,7599,"Sudan",1994,1.38629436111989,"Africa",93.7024,864.9481,907.039232,25438.123621,75.1689,1942.1649,-651.714363,-85591.207143,23985443577,23338464,23.9007129656631,144,945.5625,1728,29076.046875,4
"76",99.24,19.84,576,"Thailand",1945,-49.37,-4.62,324,"Brazil",NA,"S","secondary",97.341751,19.49125,49134,"Myanmar (Burma)",1996,0.693147180559945,"Asia",393.6256,9848.5776,7809.531904,977372.841024,21.3444,2437.3969,-98.611128,-120334.284953,11324734005,44452206,23.1502550206225,379.9088265625,9475.416487746,7404.89791573633,922353.632371466,2
"77",30.32,8.47,890,"Sudan",1998,-61.22,-11.63,371,"Brazil",NA,"S","secondary",25.2,0.5,23812,"DR Congo (Zaire)",1998,2.99573227355399,"Africa",71.7409,919.3024,607.645423,27873.248768,135.2569,3747.8884,-1573.037747,-229445.727848,NA,NA,NA,0.25,635.04,0.125,16003.008,20
"78",7.19,6.54,809,"Nigeria",1967,-59.25,5.3,653,"Guyana",NA,"S","alluvial",9.616667,7.516667,15936,"Nigeria",2001,2.99573227355399,"Africa",42.7716,51.6961,279.726264,371.694959,28.09,3510.5625,148.877,-208000.828125,1.79e+11,125394046,25.9106516427872,56.500282788889,92.480284188889,424.69381112991,889.35209710991,20
"79",-68.51,10.94,26,"Venezuela",1927,NA,NA,832,NA,NA,NA,NA,-66.879193,10.488011,197492,"Venezuela",1998,1.09861228866811,"Americas",119.6836,4693.6201,1309.338584,-321559.913051,NA,NA,NA,NA,2.96e+11,23288564,26.4136252912705,109.998374736121,4472.82645633125,1153.66416421456,-299139.023828484,3
"80",-64.45,9.19,25,"Venezuela",1945,-11.08,8.67,851,"Sierra Leone",NA,"S","alluvial; kimberlite target",-64.61667,10.21667,204475,"Venezuela",2004,0,"Americas",84.4561,4153.8025,776.151559,-267712.571125,75.1689,122.7664,651.714363,-1360.251712,2.97e+11,25996594,26.4169979757491,104.3803458889,4175.3140418889,1066.41954843275,-269794.889591101,0
"81",16.34,8.7,855,"Chad",1975,-60.25,4.57,358,"Brazil",NA,"S","secondary",17.135398,7.41456,22757,"Central African Republic",2005,1.09861228866811,"Africa",75.69,266.9956,658.503,4362.708104,20.8849,3630.0625,95.443993,-218711.265625,NA,NA,NA,54.9756999936,293.621864618404,407.620626144547,5031.32751173847,3
"82",16.34,8.7,855,"Chad",1975,-60.25,4.57,358,"Brazil",NA,"S","secondary",16.439746,7.243883,22906,"Central African Republic",2006,3.40119738166216,"Africa",75.69,266.9956,658.503,4362.708104,20.8849,3630.0625,95.443993,-218711.265625,NA,NA,NA,52.473840917689,270.265248544516,380.114364168352,4443.09203869871,30
"83",95.62,16.48,609,"Myanmar (Burma)",1999,-49.37,-4.62,324,"Brazil",NA,"S","secondary",96.150408,16.79845,50715,"Myanmar (Burma)",2007,2.07944154167984,"Asia",271.5904,9143.1844,4475.809792,874271.292328,21.3444,2437.3969,-98.611128,-120334.284953,37073010379,49621475,24.3361550587698,282.1879224025,9244.90095856646,4740.31970508228,888900.999085757,8
"84",12.32,-5.21,864,"Angola",NA,NA,NA,376,NA,NA,NA,NA,15.315,-4.329722,30277,"DR Congo (Zaire)",2011,0,"Africa",27.1441,151.7824,-141.420761,1869.959168,NA,NA,NA,NA,NA,NA,NA,18.746492597284,234.549225,-81.1671014212977,3592.121380875,0
"85",30.32,8.47,890,"Sudan",1998,-61.22,-11.63,371,"Brazil",NA,"S","secondary",31.616667,4.85,64177,"South Sudan",2013,0.693147180559945,"Africa",71.7409,919.3024,607.645423,27873.248768,135.2569,3747.8884,-1573.037747,-229445.727848,NA,NA,NA,23.5225,999.613632188889,114.084125,31604.4513375766,2
"86",30.32,8.47,890,"Sudan",1998,-61.22,-11.63,371,"Brazil",NA,"S","secondary",31.616667,4.85,64167,"South Sudan",2013,1.94591014905531,"Africa",71.7409,919.3024,607.645423,27873.248768,135.2569,3747.8884,-1573.037747,-229445.727848,NA,NA,NA,23.5225,999.613632188889,114.084125,31604.4513375766,7
"87",29.41,9.68,805,"Sudan",1980,-44.8,-9.58,333,"Brazil",NA,"S","secondary",28,7.7,280218,"South Sudan",2018,1.09861228866811,"Africa",93.7024,864.9481,907.039232,25438.123621,91.7764,2007.04,-879.217912,-89915.392,NA,NA,NA,59.29,784,456.533,21952,3
"88",27.22,11.12,806,"Sudan",1979,-60.17,4.55,356,"Brazil",NA,"S","secondary",24.28082,13.13228,196999,"Sudan",2015,1.6094379124341,"Africa",123.6544,740.9284,1375.036928,20168.071048,20.7025,3620.4289,94.196375,-217841.206913,72731117404,38902950,25.0100351547237,172.4567779984,589.5582198724,2264.75069657283,14314.9570162422,5
"89",29.41,9.68,805,"Sudan",1980,-44.8,-9.58,333,"Brazil",NA,"S","secondary",28.00446,7.69702,233020,"South Sudan",2016,0.693147180559945,"Africa",93.7024,864.9481,907.039232,25438.123621,91.7764,2007.04,-879.217912,-89915.392,NA,NA,NA,59.2441168804,784.2497798916,456.003152510776,21962.4915909831,2
"90",32.97,10.02,804,"Sudan",1982,-44.07,-8.67,335,"Brazil",NA,"S","secondary",37.39077,11.59364,229265,"Ethiopia",2016,3.40119738166216,"Africa",100.4004,1087.0209,1006.012008,35839.079073,75.1689,1942.1649,-651.714363,-85591.207143,53258136694,103603501,24.6984164316282,134.4124884496,1398.0696811929,1558.33000258882,52274.9018934571,30
"91",9.89,3.72,859,"Cameroon",1955,NA,NA,401,NA,NA,NA,NA,9.336405,4.23003,272634,"Cameroon",2018,1.09861228866811,"Africa",13.8384,97.8121,51.478848,967.361669,NA,NA,NA,NA,37768463341,25216237,24.3547402881992,17.8931538009,87.168458324025,75.688577372421,813.840030138718,3
"92",30.32,8.47,890,"Sudan",1998,-44.8,-9.58,333,"Brazil",NA,"S","secondary",30.299631,8.175975,256587,"South Sudan",2018,0,"Africa",71.7409,919.3024,607.645423,27873.248768,91.7764,2007.04,-879.217912,-89915.392,NA,NA,NA,66.846567200625,918.067638736161,546.53586226813,27817.110686747,1
"93",13.8,-10.29,861,"Angola",NA,21.37,-7.7,6,"Angola",NA,"S","alluvial",20.736437,-8.425505,269265,"Angola",2018,2.63905732961526,"Africa",105.8841,190.44,-1089.547389,2628.072,59.29,456.6769,-456.533,9759.185353,99503815532,30809762,25.323461827431,70.989134505025,429.999819454969,-598.119307717761,8916.66416613934,14
"94",-72.33,9.99,27,"Venezuela",1945,NA,NA,832,NA,NA,NA,NA,-72.16667,10,198926,"Venezuela",1990,0.693147180559945,"Americas",99.8001,5231.6289,997.002999,-378403.718337,NA,NA,NA,NA,2.35e+11,19632665,26.1828513510906,100,5208.0282588889,1000,-375846.05670991,2
"95",9.89,3.72,859,"Cameroon",1955,NA,NA,401,NA,NA,NA,NA,9.336405,4.23003,272638,"Cameroon",2018,1.38629436111989,"Africa",13.8384,97.8121,51.478848,967.361669,NA,NA,NA,NA,37768463341,25216237,24.3547402881992,17.8931538009,87.168458324025,75.688577372421,813.840030138718,4
"96",-64.45,9.19,25,"Venezuela",1945,NA,NA,773,NA,NA,NA,NA,-62.64102,8.35122,198944,"Venezuela",1990,0,"Americas",84.4561,4153.8025,776.151559,-267712.571125,NA,NA,NA,NA,2.35e+11,19632665,26.1828513510906,69.7428754884,3923.8973866404,582.438096636236,-245796.934674489,1
"97",20.22,9.69,857,"Chad",1974,-60.17,4.55,356,"Brazil",NA,"S","secondary",22.25,15.116667,12063,"Chad",1990,3.17805383034795,"Africa",93.8961,408.8484,909.853209,8266.914648,20.7025,3620.4289,94.196375,-217841.206913,3080498134,5963252,21.8483571526729,228.513621188889,495.0625,3454.36431647658,11015.140625,24
"98",88.09,25.13,662,"India",NA,0,0,564,"Guinea",NA,"S","alluvial",85.3206,27.70169,106171,"Nepal",1990,0,"Asia",631.5169,7759.8481,15870.019697,683565.019129,0,0,0,0,NA,NA,NA,767.3836288561,7279.60478436,21257.8233976467,621100.247964466,1
"99",72.56,33.19,603,"Pakistan",1945,0,0,560,"Guinea",NA,"S","alluvial",74.823383,34.080399,84283,"India",1990,0,"Asia",1101.5761,5264.9536,36561.310759,382025.033216,0,0,0,0,5.08e+11,873277798,26.9537472845249,1161.4735959992,5598.53864356469,39583.4835796176,418901.601167741,0
"100",8.42,5.13,810,"Nigeria",1967,-60.5,3.03,353,"Brazil",NA,"S","alluvial",10.158245,5.952655,22666,"Cameroon",1990,1.79175946922805,"Africa",26.3169,70.8964,135.005697,596.947688,9.1809,3660.25,27.818127,-221445.125,15811240758,11780088,23.4839869644053,35.434101549025,103.189941480025,210.926981756311,1048.22870708976,6
"101",-78.93,21.95,308,"Cuba",1945,NA,NA,832,NA,NA,NA,NA,-72.3,19.1,193512,"Haiti",1990,0.693147180559945,"Americas",481.8025,6229.9449,10575.564875,-491729.550957,NA,NA,NA,NA,NA,NA,NA,364.81,5227.29,6967.871,-377933.067,2
"102",35.11,-23.8,813,"Mozambique",1961,0,0,713,"Ivory Coast",NA,"S","alluvial",27.321027,-26.324593,18656,"South Africa",1990,0,"Africa",566.44,1232.7121,-13481.272,43280.521831,0,0,0,0,NA,NA,NA,692.984196615649,746.438516334729,-18242.5269313389,20393.4668586211,1
"103",76.43,31.91,677,"India",NA,0,0,560,"Guinea",NA,"S","alluvial",74.676,32.565,89568,"India",1990,1.09861228866811,"Asia",1018.2481,5841.5449,32492.296871,446469.276707,0,0,0,0,5.08e+11,873277798,26.9537472845249,1060.479225,5576.504976,34534.505962125,416431.085587776,3
"104",35.11,-23.8,813,"Mozambique",1961,0,0,713,"Ivory Coast",NA,"S","alluvial",28.066667,-26.366667,13370,"South Africa",1990,0,"Africa",566.44,1232.7121,-13481.272,43280.521831,0,0,0,0,NA,NA,NA,695.201128688889,787.737796488889,-18330.1366581641,22109.1744173674,1
"105",0.97,25.64,866,"Algeria",NA,0.5,26.63,1,"Algeria",1957,"S","alluvial",-3,20,11865,"Mali",1990,0,"Africa",657.4096,0.9409,16855.982144,0.912673,709.1569,0.25,18884.848247,0.125,NA,NA,NA,400,9,8000,-27,0
